"sample_card","sample_pdf","site","latitude","longitude","date","specie","sepal_lenght_cm","sepal_width_cm","petal_lenght_cm","petal_width_cm"
"A3","A12","1","48.935.966","-64.840.984","01_12_1929","Iris setosa",4.7,3.2,1.3,0.2
"A4","A46","3","48.329.837","-65.512.333","01_12_1929","Iris setosa",4.6,3.1,1.5,0.2
"A7","A47","3","48.329.837","-65.512.333","01_12_1929","Iris setosa",4.6,3.4,1.4,0.3
"A25","A36","3","48.329.837","-65.512.333","01_12_1929","Iris setosa",4.8,3.4,1.9,0.2
"A27","A4","1","48.935.966","-64.840.984","01_12_1929","Iris setosa",5,3.4,1.6,0.4
"A65","A72","2","48.540.502","-64.766.512","13_02_1930","Iris versicolor",5.6,2.9,3.6,1.3
"A72","A58","1","48.935.966","-64.840.984","01_12_1929","Iris versicolor",6.1,2.8,4,1.3
"A77","A76","2","48.540.502","-64.766.512","13_02_1930","Iris versicolor",6.8,2.8,4.8,1.4
"A78","A60","1","48.935.966","-64.840.984","01_12_1929","Iris versicolor",6.7,3,5,1.7
"A85","A95","3","48.329.837","-65.512.333","01_12_1929","Iris setosa",5.4,3,4.5,1.5
"A104","A119","2","48.540.502","-64.766.512","13_02_1930","Iris virginica",6.3,2.9,5.6,1.8
"A106","A136","3","48.329.837","-65.512.333","01_12_1929","Iris virginica",7.6,3,6.6,2.1
"A111","A104","1","48.935.966","-64.840.984","01_12_1929","Iris virginica",6.5,3.2,5.1,2
"A135","A112","1","48.935.966","-64.840.984","01_12_1929","Iris virginica",6.1,2.6,5.6,1.4
"A139","A147","3","48.329.837","-65.512.333","01_12_1929","Iris virginica",6,3,4.8,1.8
"A17","A150","1","48935966","-64840984","1929_12_01","Iris virginica",5.9,3,5.1,1.8
"A130","A137","2","48540502","-64766512","1930_02_13","Iris virginica",6.3,3.4,5.6,2.4
"A61","A81","1","48935966","-64840984","1929_12_01","Iris versicolor",5.5,2.4,3.8,1.1
"A38","A31","3","48329837","-65512333","1929_12_01","Iris setosa",4.8,3.1,1.6,0.2
"A129","A134","2","48540502","-64766512","1930_02_13","Iris virginica",6.3,2.8,5.1,1.5
"A122","A113","2","48540502","-64766512","1930_02_13","Iris virginica",6.8,3,5.5,2.1
"A41","A40","3","48329837","-65512333","1929_12_01","Iris setosa",5.1,3.4,1.5,0.2
"A66","A96","1","48935966","-64840984","1929_12-01","Iris versicolor",5.7,3,4.2,1.2
"A84","A52","3","48329837","-65512333","1929_12_01","Iris versicolor",6.4,3.2,4.5,1.5
"A137","A109","3","48329837","-65512333","1929_12_01","Iris virginica",6.7,2.5,5.8,1.8
"A95","A85","3","48329837","-65512333","1929_12_01","Iris versicolor",5.4,3,4.5,1.5
"A146","A136","3","48329837","-65512333","1929_12_01","Iris virginica",7.7,3,6.1,2.3
"A79","A86","2","48540502","-64766512","1930_02_13","Iris versicolor",6,3.4,4.5,1.6
"A80","A89","2","48540502","-64766512","1930_02_13","Iris versicolor",5.6,3,4.1,1.3
"A53","A57","1","48935966","-64840984","1929_12_01","Iris versicolor",6.3,3.3,4.7,1.6
"A127","A143","3","48.329837","-65.512333","1_12_1929","Iris virginica",6.2,2.8,4.8,1.8
"A49","A44","3","48.329837","-65.512333","1_12_1929","Iris setosa",5.3,3.7,1.5,0.2
"A100","A100","3","48.329837","-65.512333","1_12_1929","Iris versicolor",5.7,2.8,4.1,1.3
"A3","A12","1","48.935966","-64.840984","1_12_1929","Iris setosa",4.7,3.2,1.3,0.2
"A140","A131","2","48.540502","-64.766512","13_2_1930","Iris virginica",6.9,3.1,5.4,2.1
"A133","A145","3","48.329837","-65.512333","1_12_1929","Iris virginica",6.4,2.8,5.6,2.2
"A143","A132","2","48.540502","-64.766512","13_2_1930","Iris virginica",5.8,2.7,5.1,1.9
"A7","A47","3","48.329837","-65.512333","1_12_1929","Iris setosa",4.6,3.4,1.4,0.3
"A148","A150","3","48.329837","-65.512333","1_12_1929","Iris virginica",6.5,3,5.2,2
"A94","A98","3","48.329837","-65.512333","1_12_1929","Iris versicolor",5,2.3,3.3,1
"A61","A87","3","48.329837","-65.512333","1_12_1929","Iris versicolor",5,2,3.5,1
"A9","A14","1","48.935966","-64.840984","1_12_1929","Iris setosa",4.4,2.9,1.4,0.2
"A87","A63","1","48.935966","-64.840984","1_12_1929","Iris versicolor",6.7,3.1,4.7,1.5
"A121","A141","3","48.329837","-65.512333","1_12_1929","Iris virginica",6.9,3.2,5.7,2.3
"A69","A57","1","48.935966","-64.840984","1_12_1929","Iris versicolor",6.2,2.2,4.5,1.5
